address,voting_power
0x47980Ca23308e7FA3858FD913a5F3b08E0240876,100
0xc160D33a0FFe204838D39825fB67a70C2dd5Ef7f,100
0x011211eC9576923988C2Fe5aA3a362528c4e7e64,94
0x0e551a523BD88f3815a5D4CC6231fBd513B28b9a,83
0xf0b6c1758676cE3Dd165db7ae5479C2a45aCd7BB,63
0xC767bB25506790b5B43EC61d8bc786F76e4E34C5,54
0x08482D3b75849AC3790ADf09ADf582Bed3b2a231,51
0x1fD9053c40351E83AEd0D7B1FD7ef3d5CCF13A39,50
0x1841Aa56dEBA1e83425791FbE827B0d6ffb03E10,50
0x2E424C44266713c829b76f34171660B98E8f74ed,50
0xaE21A3B475a5E6Cdccf389ed81530e1ee3DA6464,50
0x442f7980DbF32CaE7C8E5bF11Af0F252F5bBee5b,50
0xAE80fDcc486e493eF3D5bE81Ec1BDc6C492C25e3,50
0xE1343a4b5e64d47B0c0f208d05Fb4B5973443818,50
0xf9e1D1e9F22c96752356AdFd377231528c7E851E,45
0xEF13B0272700ca22C57E055f0d2ad40d6C78155E,43
0x15FECfa8Fa295ad7383D84D172DBE51792fA95bB,41
0x4ec06ae9922d2Ace5CE4ACB02051b8EB65D215B1,36
0x696C3D3bA8fB3bd555e2Cd5784058DA76a2Ca4Bb,30
0xDC9eb905276bB420B7100B145cB1D20EFdDE8876,26
0xFa93c9A95727268b88Ff77b5396ED3B8b59a1BA1,11
0xCE0D183b410a53144ef3FC60931911d5AE9f00E6,10
0x12734f36E365ed769B16b4157e26B9Ee7180E8CA,8
0xdED77410241c3bCC3997C1F92ad622b9eacB2c6d,5
0xC34D931CC6290DaE177a6Fc645DB444a132A442f,5
0xF196836B53E8f03E32f5186C7909aCbb8B742615,4
0x513b4Fb84dF4f8E05C05cDCbbB8D04c482ec0b4B,3
0xdCAd95C9894d80fB30817F59e7619Fd9128f64d1,3
0xdf6D2fdd1aaf3E218fe558235B3088e9E7411A33,3
0x3378cB595C48C7caA1Ca4651683C84685F19dAa0,3
0x2FC3Fd7c06aDfc48736122ea33820038CC16DcDb,3
0xAf72E36d1d16aE80b6811a99909cb92396d18777,3
0x541118E8B36D5A111d7cEd5e5ac9a65042905346,2
0x12cb4ca94136b6e8Fb11636c55F47d0885f3Dc64,1
